ID,カテゴリ名
1,JA通信
2,ＪＡ全国大会
3,ＴＡＣ
4,一品厳選
5,仮渡金(概算金)
6,国消国産
7,事業承継
8,農協人文化賞
9,殺菌剤
10,殺虫剤
11,除草剤
12,肥料
13,水田活用
14,フードロス
15,Z-GIS
16,スマート農業
17,バイオスティミュラント
18,病害虫
19,病害虫発生情報
20,病害虫発生予報
21,病害虫防除
22,SDGs
23,ＡＳＦ（アフリカ豚熱）
24,ＣＳＦ（豚熱）
25,GI
26,HACCP
27,みどり戦略
28,花き
29,海外ニュース
30,基本計画
31,基本法
32,国際協同組合年
33,食料安保
34,食料危機
35,新規就農者支援
36,水稲
37,水田
38,政府備蓄米
39,鳥インフルエンザ
40,都市農業
41,農泊
42,農福連携
43,備蓄米放出
44,米の作柄
45,米の食味ランキング
46,米価
47,ＪＡ共済連・県本部
48,新世紀ＪＡ研究会
49,ＪＡ全農・県本部
50,日本農業新聞
51,ＪＡグループ
52,中央畜産会
53,全農子会社
54,家の光協会
55,文化厚生連
56,農協研究会
57,農薬工業会
58,ＪＡ女性協
59,ＪＡ青年協
60,日本公庫
61,農協協会
62,農林中金
63,農林年金
64,農研機構
65,Ｊミルク
66,ＪＡ共済
67,全厚連
68,全青協
69,共済連
70,厚生連
71,女性協
72,県信連
73,県本部
74,経済連
75,農水省
76,ＪＣＡ
77,単協
78,生協
79,㈱農協観光
80,㈳農協観光
81,ホクレン
82,解説・提言
83,新型コロナウイルス
84,インタビュー
85,決算
86,調査・統計・アンケート
87,米粉
88,令和6年能登半島地震
89,訃報
90,酪農
91,ウクライナ危機
