ID,タイトル,公開日,カテゴリ,トピック,人事区分,JA名,人事異動の発効日,都道府県,全国連人事,サムネイル,記事本文へのサムネイル表示について,概要,内容,ページ
240109-71610,【人事異動】ＪＡ全農（2月1日付）,202401090957,JAの人事,,,,,,,jinji/images/c9d0031ac74b642c40483d234d62a28b.jpg,,ＪＡ全農は、2月1日付の人事異動を公表した。,,"<p>【異動】<br /> ▽本所　耕種資材部　農薬原体・開発課課長　事務取扱（本所　耕種資材部　次長）秋森 吉樹</p>
<p>※敬称略</p>"
240112-71711,【訃報】全農全国本部OB会会員　岩澤秀朗氏　71歳で死去,202401120951,JAの人事,,,,,,,,,,,"<p>★カテゴリ<br /> 人事</p>
<p>★タグ<br /> 全農</p>
<p>（タイトル）<br /> 【訃報】全農全国本部OB会会員　岩澤秀朗氏　71歳で死去</p>
<p>（リード）<br /> 全農全国本部OB会会員の岩澤秀朗氏が2020年8月9日に逝去した。71歳。通夜・告別式は近親者等で執り行われた。</p>
<p>（本文）<br /> 【経歴】<br /> 昭和49年4月　全農　本所環境発部住施課<br /> 同50年2月　本所建設部施設課<br /> 同51年2月　技セ施資研部<br /> 同58年2月　大阪支所施資部施設課<br /> 平成1年2月　技セ施資研部<br /> 同6年2月　東京支所施資部施設課<br /> 同8年2月　札幌支所生資部施資課長<br /> 同11年1月　本所施住部技企課<br /> 同13年1月　本所生資部施技課<br /> 同13年4月　本所生資部施設課<br /> 同14年1月　東京支所生資部<br /> 同16年1月　営総対部営技セ生資研室<br /> 同19年2月　財団法人２１世紀村づくり塾<br /> 同21年9月　全農退職</p>
<p><br /> ★参照元★<br /> PDF</p>
<p>★問い合わせ先のメールアドレス</p>"
240112-71732,【ＪＡ人事】ＪＡおきなわ新会長に副会長の伊波操氏が就任,202401121700,JAの人事,"単協,沖縄県",,,,沖縄県,,jinji/images/9689dfa680bb42d78e11ace36c893091_1.jpg,,ＪＡおきなわは1月12日に経営管理委員会を開き、新会長に副会長の伊波操氏を選んだ。,,"<p><strong><img alt=""伊波操氏"" src=""https://www.jacom.or.jp/jinji/images/8e51dbc5907837b8ce61c647120bf193_1.jpg"" width=""200"" height=""300"" class=""mt-image-right"" style=""float: right; margin: 0 0 20px 20px;"" />【ＪＡおきなわ　役員】</strong><br />▽経営管理委員会会長：伊波操（新任）<strong>＝写真</strong></p>
<p>▽経営管理委員会副会長：宮平司（新任）</p>
<p><strong>【新会長略歴】<br /></strong>（いは・みさお）<br />昭和31年9月25日生まれ。56年琉球大学卒、同年沖縄県信連入会。平成15年ＪＡおきなわ信用推進部長、28年同ＪＡ常務理事、令和4年同ＪＡ経営管理委員会副会長、ＪＡ沖縄中央会代表監事。</p>"
240112-71733,【県連人事】ＪＡ沖縄中央会　新会長に嘉数康雄氏（1月12日付）,202401121700,JAの人事,沖縄県,,,,沖縄県,,jinji/images/1c95d2a892cd7627fe467dc712a6cbff.jpg,,ＪＡ沖縄中央会は1月12日に臨時総会を開き、新会長にＪＡおきなわ経営管理委員会会長の嘉数康雄氏を選任した。,,"<p><img alt=""嘉数康雄氏"" src=""https://www.jacom.or.jp/jinji/images/9ef508a70bedd6bd23c3096cce328616.jpg"" width=""200"" height=""300"" class=""mt-image-right"" style=""float: right; margin: 0 0 20px 20px;"" />2023年12月17日に普天間朝重前会長が死去したことに伴い、後任の会長を選んだ。</p>
<p><strong>【ＪＡ沖縄中央会　役員】</strong><br />▽代表理事会長　嘉数康雄（新任）<strong>＝写真</strong><br />▽代表理事専務　嵩原義信<br />▽代表監事　伊波操</p>
<p><strong>【新会長略歴】</strong><br />（かかず・やすお）<br />昭和33年2月10日生まれ。昭和57年豊見城村農業協同組合入組、平成15年沖縄県農業協同組合豊見城支店金融共済部長、平成18年同支店副支店長、平成20年同支店支店長、平成25年沖縄県農業協同組合常務理事、令和元年同経営管理委員会副会長、令和4年同経営管理委員会会長、令和6年沖縄県農業協同組合中央会代表理事会長、沖縄県農業協同組合経営管理委員。</p>"
240115-71748,【人事異動】ＪＡ全農（2月21日付）,202401151307,JAの人事,,,,,,,jinji/images/c9d0031ac74b642c40483d234d62a28b.jpg,,ＪＡ全農は2月21日付の人事異動を公表した。,,"<p>【退職】<br /> ▽小椋和仁（本所 耕種資材部 専任部長）</p>
<p>※敬称略</p>"
240116-71786,【役員人事】アグロ カネショウ（1月15日付）,202401161033,JAの人事,,,,,,,jinji/images/967a38b9cbd9b99700b9bc75a133d18a.jpg,,"アグロ カネショウ株式会社は、1月15日開催の取締役会において、取締役監査等委員候補者人事を決議した。なお、取締役監査等委員候補者については、3月下旬開催予定の第65回定時株主総会において議案が承認されることを条件としている。
",,"<p>▽取締役 監査等委員（内部監査室長）吉尾誠<br /> ▽社外取締役 監査等委員　植田史恵</p>
<p>取締役 監査等委員長　谷川正次は、3月下旬開催予定の定時株主総会の終結をもって退任予定。</p>
<p><br /> 敬称略<br /> カッコ内は旧職</p>"
240122-71890,【役員人事】ヤマタネ（6月21日付、4月1日付）,202401220900,JAの人事,,,,,,,jinji/images/996265cb396e29fd2e3ae2a50e82a790.jpg,,ヤマタネは、6月21日付の代表取締役の異動と、4月1日付の役員の異動を公表した。,,"<p class=""imgRight""><img alt=""新社長の河原田岩夫氏"" src=""https://www.jacom.or.jp/jinji/images/e58e146b7100677ca8e43fe9f5706aa1.jpg"" width=""200"" height=""300"" /><span class=""imgRight__cap"" style=""color: #808080; font-size: 14px; display: block; text-align: center;"">新社長の河原田岩夫氏</span></p>
<p>【代表取締役の異動】<br /> ▽代表取締役会長（代表取締役社長兼執行役員）山﨑元裕<br /> ▽代表取締役社長兼執行役員（副社長執行役員 経営企画担当）河原田岩夫</p>
<p>【執行役員の異動】<br /> ▽常務執行役員経営企画部長　不動産事業部・文化事業部担当（上席執行役員経営企画部長　不動産事業部・文化事業部担当）溝口健二<br /> ▽常務執行役員事業戦略部担当（上席執行役員事業戦略部担当）大宮貴文<br /> ▽常務執行役員物流本部長兼関東支店長　㈱ヤマタネロジワークス代表取締役社長（上席執行役員物流本部関東支店長　㈱ヤマタネロジワークス代表取締役社長）櫻田琢磨<br /> ▽上席執行役員物流本部関西支店長（執行役員物流本部関西支店長）永嶋義範<br /> ▽上席執行役員食品本部長（執行役員　㈱シンヨウ・ロジ代表取締役社長）星野裕之<br /> ▽上席執行役員管理本部長　㈱ヤマタネエキスパート代表取締役社長（執行役員管理本部人事部長）髙橋学<br /> ▽執行役員特命担当（執行役員食品本部長）寺田忠夫</p>
<p>【新任】<br /> ▽執行役員管理本部総務部長（管理本部総務部長）杉本しのぶ</p>
<p>※敬称略</p>"
240124-71930,【人事異動】クボタ（2月1日付）,202401240857,JAの人事,,,,,,,jinji/images/0a7c711dbbeb18fed0e52122c62a2a4e.jpg,,"株式会社クボタは2月1日付の人事異動を公表した。
",,"<p>▽環境事業推進部長　沖浩彰<br /> ▽環境事業推進部（環境事業推進部長 ）田辺淳一<br /> ▽ICT企画部（久保田信息系統（蘇州）有限公司 総経理）　松井伸夫<br /> ▽久保田信息系統（蘇州）有限公司 総経理 兼 ICT推進第三部長　角田晴久</p>
<p>敬称略<br /> カッコ内は旧職</p>"
240131-71961,【役員人事】協友アグリ（1月30日付）,202401310838,JAの人事,,,,,,,jinji/images/6510c381db22ed162cefd86f03812d5c.jpg,,協友アグリ株式会社は、1月30日に開催した第92期定時株主総会ならびに取締役会で役員人事を行った。,,"<p>▽代表取締役社長　安藤敏<br />▽代表取締役副社長　園田正則<br />▽常務取締役　開発マーケティング部長　氏家敬<br />▽常務取締役　宗和弘<br />▽取締役　法務コンプライアンス部長　大塚隆史<br />▽取締役（非常勤）　藤本博明<br />▽取締役（非常勤）　秋森吉樹＜新任＞<br />▽取締役（非常勤）　上田学史＜新任＞<br />▽取締役（非常勤）　小松英司＜新任＞<br />▽常勤監査役　小林征司<br />▽監査役（非常勤）　小林修<br />▽監査役（非常勤）　榮長悟</p>
<p>（退任）<br />▽取締役（非常勤）　堀江幹也<br />▽取締役（非常勤）　浜本悟<br />▽取締役（非常勤）　住田明子</p>"
240126-72011,【人事異動】ＪＡ三井リース株式会社（4月1日、10月1日付）,202401261003,JAの人事,,,,,,,jinji/images/f791ad20de6a5e611c2c44c5d9d066a7_1.jpg,,ＪＡ三井リースは、グループ会社における4月1日および10月1日付の人事異動について公表した。,,"<p><span style=""color: #339900; font-size: 14pt;""><strong> ◎役員（4月1日付）</strong></span><br /> <strong>【新任】</strong><br /> ▽ＪＡ三井リースオート株式会社<br /> 専務執行役員（ＪＡ三井リース関西営業本部長兼関西営業本部<br /> 関西リレーション営業部長）門間寿昌<br /> ▽ＪＡ三井リースアセット株式会社<br /> 代表取締役社長（ＪＡ三井リース東日本営業本部長）高沼秀明<br /> ▽協同ライフケア株式会社<br /> 代表取締役社長（ＪＡ三井リース執行役員ＪＡ三井リース九州株式会社代表取締役社長）柴田稔<br /> ▽PT.Mitsui Leasing Capital Indonesia<br /> PRESIDENT DIRECTOR（ＪＡ三井リースオート株式会社総務企画部長兼ＪＡ三井リースオート株式会社総務企画部総務チームマネージャー）宮岡靖明<br /> ▽JA Mitsui Leasing Asia Pacific Holding Pte.Ltd.<br /> MANAGING DIRECTOR（JA Mitsui Leasing Asia Pacific Holding Pte.Ltd.DIRECTOR兼JA Mitsui Leasing Singapore Pte.Ltd.DIRECTOR）矢沢哲<br /> ▽JA Mitsui Leasing Singapore Pte.Ltd.<br /> MANAGING DIRECTOR（JA Mitsui Leasing Asia Pacific Holding Pte.Ltd.DIRECTOR兼JA Mitsui Leasing Singapore Pte.Ltd.DIRECTOR）矢沢哲<br /> ▽株式会社日本包装リース<br /> 代表取締役社長（ＪＡ三井リース農林水産本部長）高瀬裕二</p>
<p>【異動】<br /> ▽ＪＡ三井リース建物株式会社<br /> 取締役専務執行役員（取締役常務執行役員）平岡清員</p>
<p><span style=""color: #339900; font-size: 14pt;""><strong>◎管理職（4月1日付）</strong></span><br /> <strong>【新任】</strong><br /> ＪＡ三井リースオート株式会社<br /> 総務企画部長（ＪＡ三井リース人事総務部人材開発室長）木村充寛<br /> ▽ＪＡ三井リースオート株式会社<br /> 九州営業部長　磯貝公伸<br /> ▽ＪＡ三井リースアセット株式会社<br /> リユース第二事業部長（ＪＡ三井リース船舶・輸送本部船舶部長）佐伯賢一<br /> ▽協同ライフケア株式会社<br /> リユース部長（当社西日本営業本部高松支店長）刑部勝利</p>
<p><span style=""color: #339900; font-size: 14pt;""><strong>◎管理職（10月1日付）</strong></span><br /> <strong>【新任】</strong><br /> ▽ＪＡ三井リース九州株式会社<br /> 福岡営業部長　伊藤康雄</p>
<p>※敬称略</p>"
